antecedents,consequents,confidence
frozenset({'Q21A'}),"frozenset({'ALTA', 'Q15A'})",0.8211258726563777
"frozenset({'Q22B', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q22C', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q23B', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q23C', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q24E', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q25E', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q15A', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q18A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q20C'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q21B', 'Q17A'})",frozenset({'ALTA'}),1.0
frozenset({'Q21B'}),"frozenset({'Q17A', 'ALTA'})",0.8043159717596909
"frozenset({'Q17A', 'Q24E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q25E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q17B'})",frozenset({'ALTA'}),1.0
frozenset({'Q17B'}),"frozenset({'ALTA', 'Q18A'})",0.9098641788997119
"frozenset({'Q19B', 'Q17B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q21A', 'Q17B'})",frozenset({'ALTA'}),1.0
frozenset({'Q17B'}),"frozenset({'ALTA', 'Q21A'})",0.9003978597887228
"frozenset({'Q24E', 'Q17B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q19B'})",frozenset({'ALTA'}),1.0
frozenset({'Q19B'}),"frozenset({'ALTA', 'Q18A'})",0.840597234635403
"frozenset({'Q20A', 'Q18A'})",frozenset({'ALTA'}),1.0
frozenset({'Q20A'}),"frozenset({'ALTA', 'Q18A'})",0.8037238690596221
