antecedents,consequents,confidence
frozenset({'Q22C'}),"frozenset({'Q13A', 'BAIXA'})",0.8410884353741496
"frozenset({'Q13A', 'Q23B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q23B'}),"frozenset({'Q13A', 'BAIXA'})",0.8711834534238765
"frozenset({'Q23C', 'Q13A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q23C'}),"frozenset({'Q13A', 'BAIXA'})",0.831092928112215
"frozenset({'Q13A', 'Q24E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q24E'}),"frozenset({'Q13A', 'BAIXA'})",0.8694842159737796
"frozenset({'Q13A', 'Q25A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q25A'}),"frozenset({'Q13A', 'BAIXA'})",0.8653663679493937
"frozenset({'Q13A', 'Q25E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q25E'}),"frozenset({'Q13A', 'BAIXA'})",0.8355048859934853
"frozenset({'Q14A', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q15A'}),"frozenset({'Q14A', 'BAIXA'})",0.9787755628669118
"frozenset({'Q14A', 'Q17A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q17A'}),"frozenset({'Q14A', 'BAIXA'})",0.9852216748768472
"frozenset({'Q14A', 'Q18A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q18A'}),"frozenset({'Q14A', 'BAIXA'})",0.9747197792722884
"frozenset({'Q14A', 'Q19B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q19B'}),"frozenset({'Q14A', 'BAIXA'})",0.970861900097943
"frozenset({'Q14A', 'Q20A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q20A'}),"frozenset({'Q14A', 'BAIXA'})",0.9766355140186916
"frozenset({'Q14A', 'Q20C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q20C'}),"frozenset({'Q14A', 'BAIXA'})",0.9748437623605727
"frozenset({'Q14A', 'Q21A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q21A'}),"frozenset({'Q14A', 'BAIXA'})",0.9705719517908095
"frozenset({'Q14A', 'Q21B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q21B'}),"frozenset({'Q14A', 'BAIXA'})",0.9864583333333333
"frozenset({'Q14A', 'Q22B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q22B'}),"frozenset({'Q14A', 'BAIXA'})",0.9798514647228717
"frozenset({'Q14A', 'Q22C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q22C'}),"frozenset({'Q14A', 'BAIXA'})",0.9777777777777777
"frozenset({'Q14A', 'Q23B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q23B'}),"frozenset({'Q14A', 'BAIXA'})",0.9818568244258982
"frozenset({'Q14A', 'Q23C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q23C'}),"frozenset({'Q14A', 'BAIXA'})",0.9763296317942723
"frozenset({'Q14A', 'Q24E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q24E'}),"frozenset({'Q14A', 'BAIXA'})",0.9829912023460411
"frozenset({'Q14A', 'Q25A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q25A'}),"frozenset({'Q14A', 'BAIXA'})",0.9742751713231418
"frozenset({'Q14A', 'Q25E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q25E'}),"frozenset({'Q14A', 'BAIXA'})",0.9780558889079377
"frozenset({'Q14A', 'Q26F'})",frozenset({'BAIXA'}),1.0
frozenset({'Q26F'}),"frozenset({'Q14A', 'BAIXA'})",0.9650739232911935
"frozenset({'Q17A', 'Q15A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q18A', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q18A'}),"frozenset({'BAIXA', 'Q15A'})",0.8038972236592516
"frozenset({'Q19B', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q19B'}),"frozenset({'BAIXA', 'Q15A'})",0.8013712047012732
"frozenset({'Q20A', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q20A'}),"frozenset({'BAIXA', 'Q15A'})",0.845255212077642
"frozenset({'Q15A', 'Q20C'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q21A', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q21A'}),"frozenset({'BAIXA', 'Q15A'})",0.8138494953366551
"frozenset({'Q21B', 'Q15A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q15A', 'Q22B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q22B'}),"frozenset({'BAIXA', 'Q15A'})",0.8038784211250171
"frozenset({'Q22C', 'Q15A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q15A', 'Q23B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q23B'}),"frozenset({'BAIXA', 'Q15A'})",0.8046757555336685
"frozenset({'Q23C', 'Q15A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q24E', 'Q15A'})",frozenset({'BAIXA'}),1.0
